,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
2564,Apartamento,Tijuca,3,1,0,105,2200.0,684.0,132.0
2565,Apartamento,Copacabana,4,1,1,298,3500.0,3080.0,2364.4095850019803
2566,Quitinete,Copacabana,1,0,0,30,5000.0,600.0,2364.4095850019803
2567,Apartamento,Todos os Santos,3,1,1,78,1300.0,571.0,2364.4095850019803
2568,Apartamento,Barra da Tijuca,2,1,1,69,2650.0,1300.0,200.0
2569,Casa,Vila Isabel,2,0,0,52,1500.0,2388.0624242214294,2364.4095850019803
2570,Apartamento,Barra da Tijuca,2,1,0,84,2200.0,900.0,2000.0
2571,Apartamento,Taquara,2,1,0,50,850.0,450.0,12.0
2572,Apartamento,Ipanema,3,2,2,190,21500.0,2700.0,700.0
2573,Casa de Condomínio,Campo Grande,2,0,0,75,1500.0,360.0,2364.4095850019803
2574,Apartamento,Barra da Tijuca,3,3,1,132,4900.0,2100.0,220.0
2575,Conjunto Comercial/Sala,Campo Grande,0,0,0,23,800.0,600.0,2364.4095850019803
2576,Apartamento,Barra da Tijuca,2,1,1,69,1700.0,975.0,183.0
2577,Apartamento,Humaitá,3,2,1,112,4500.0,1400.0,231.0
2578,Casa,Todos os Santos,2,1,0,90,1800.0,2388.0624242214294,2364.4095850019803
2579,Conjunto Comercial/Sala,Vila Isabel,0,1,0,25,1000.0,800.0,2364.4095850019803
2580,Apartamento,Tijuca,3,1,0,75,1900.0,510.0,2364.4095850019803
2581,Conjunto Comercial/Sala,Centro,0,0,0,414,16000.0,7534.0,1300.0
2582,Apartamento,Copacabana,4,1,2,264,3500.0,1900.0,68.0
2583,Conjunto Comercial/Sala,Campo Grande,0,0,0,40,800.0,455.0,2364.4095850019803
2584,Apartamento,Leblon,3,0,0,90,10000.0,2388.0624242214294,2364.4095850019803
2585,Apartamento,Copacabana,2,1,1,81,3700.0,1033.0,220.0
2586,Apartamento,Barra da Tijuca,4,3,2,218,4900.0,2406.0,683.0
2587,Conjunto Comercial/Sala,Centro,0,0,0,33,750.0,619.0,124.0
2588,Casa de Condomínio,Barra da Tijuca,4,4,4,869,24000.0,2214.0,2376.0
2589,Apartamento,Barra da Tijuca,5,3,3,320,11000.0,4408.0,1575.0
2590,Apartamento,Leme,1,0,0,60,2600.0,600.0,60.0
2591,Apartamento,Barra da Tijuca,3,2,1,90,2800.0,1517.0,359.0
2592,Conjunto Comercial/Sala,Ilha do Governador,0,0,0,27,600.0,336.0,2364.4095850019803
2593,Conjunto Comercial/Sala,Freguesia (Jacarepaguá),0,1,0,19,600.0,450.0,2364.4095850019803
2594,Apartamento,Barra da Tijuca,3,1,1,92,3500.0,1200.0,2364.4095850019803
2595,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,26,2000.0,259.0,148.0
2596,Apartamento,Vila da Penha,2,1,0,62,1100.0,2388.0624242214294,2364.4095850019803
2597,Apartamento,Leblon,2,0,0,66,2600.0,661.0,149.0
2598,Casa de Condomínio,Barra da Tijuca,4,4,4,300,14000.0,1200.0,350.0
2599,Apartamento,Tijuca,2,0,0,80,1600.0,250.0,20.0
2600,Conjunto Comercial/Sala,Jacarepaguá,0,1,0,22,1200.0,790.0,100.0
2601,Apartamento,Barra da Tijuca,3,1,1,120,4200.0,1024.0,623.0
2602,Apartamento,Ipanema,3,1,1,98,4950.0,1200.0,260.0
2603,Apartamento,Copacabana,3,1,0,138,2800.0,1501.0,318.0
2604,Quitinete,Centro,1,0,0,32,700.0,480.0,90.0
2605,Apartamento,Recreio dos Bandeirantes,3,2,1,120,2200.0,550.0,174.0
2606,Apartamento,Barra da Tijuca,3,3,3,145,5100.0,1100.0,2364.4095850019803
2607,Apartamento,Copacabana,2,0,1,52,2800.0,800.0,50.0
2608,Conjunto Comercial/Sala,Centro,0,0,0,73,1400.0,852.0,2364.4095850019803
2609,Apartamento,Centro,1,0,0,50,1260.0,290.0,23.0
2610,Conjunto Comercial/Sala,Madureira,0,0,0,29,580.0,480.0,60.0
2611,Apartamento,Rocha,2,1,0,74,1250.0,630.0,38.0
2612,Apartamento,Barra da Tijuca,2,1,1,91,3800.0,1055.0,2364.4095850019803
2613,Apartamento,São Cristóvão,2,1,1,55,1500.0,520.0,1.0
2614,Conjunto Comercial/Sala,Flamengo,0,3,0,174,14782.0,4294.0,826.0
2615,Apartamento,Botafogo,3,2,0,150,5500.0,1000.0,2364.4095850019803
2616,Apartamento,Botafogo,3,2,1,115,4500.0,1200.0,2364.4095850019803
2617,Apartamento,Lagoa,1,1,1,120,7000.0,1500.0,285.0
2618,Apartamento,Leblon,4,2,4,200,10500.0,2710.0,944.0
2619,Conjunto Comercial/Sala,Pilares,0,1,0,23,400.0,400.0,2364.4095850019803
2620,Conjunto Comercial/Sala,Freguesia (Jacarepaguá),0,1,0,28,950.0,330.0,2364.4095850019803
2621,Apartamento,Leblon,3,1,1,100,4500.0,1407.0,2364.4095850019803
2622,Apartamento,Leblon,3,1,1,150,7000.0,2500.0,383.0
2623,Apartamento,Barra da Tijuca,2,1,1,75,2100.0,638.0,2364.4095850019803
2624,Conjunto Comercial/Sala,Caju,0,0,0,2132,255840.0,2388.0624242214294,2364.4095850019803
2625,Apartamento,Copacabana,1,0,0,33,1400.0,561.0,29.0
2626,Apartamento,Barra da Tijuca,3,1,1,88,2300.0,803.0,2364.4095850019803
2627,Apartamento,Barra da Tijuca,2,1,1,101,3000.0,2100.0,265.0
2628,Conjunto Comercial/Sala,Centro,0,0,0,1354,81240.0,93686.0,21080.0
2629,Apartamento,Tijuca,3,2,0,74,2500.0,713.0,95.0
2630,Apartamento,Copacabana,2,0,0,70,2200.0,520.0,2364.4095850019803
2631,Conjunto Comercial/Sala,Centro,0,18,0,957,86089.0,26534.0,2630.0
2632,Flat,Ipanema,2,2,2,102,4300.0,2000.0,300.0
2633,Quitinete,Copacabana,1,0,0,30,1100.0,423.0,242.0
2634,Apartamento,Leblon,3,2,3,274,15000.0,5000.0,1700.0
2635,Apartamento,Maracanã,2,1,0,65,1600.0,668.0,2364.4095850019803
2636,Casa de Condomínio,Recreio dos Bandeirantes,4,3,4,161,5000.0,900.0,2200.0
2637,Apartamento,Copacabana,4,2,2,389,12400.0,3522.0,2364.4095850019803
